sample_id	tissue	cell_fraction	fraction
GSM3428727	tumor	NK cells activated	0.0422381605725641
GSM3428728	tumor	T cells CD4 memory resting	0.13879839181321
GSM3428728	tumor	Macrophages M2	0.313637102829436
GSM3428728	tumor	Plasma cells	0.0404233985513655
GSM3428728	tumor	Macrophages M0	0
GSM3428728	tumor	T cells CD8	0.111235069247234
GSM3428728	tumor	Macrophages M1	0.00634831308991107
GSM3428728	tumor	T cells follicular helper	0.0634670705833383
GSM3428728	tumor	Mast cells activated	0.0624634074720334
GSM3428728	tumor	B cells memory	0.00986990331019684
GSM3428728	tumor	NK cells activated	0.0883566044794244
GSM3428729	tumor	T cells CD4 memory resting	0.170681833973388
GSM3428729	tumor	Macrophages M2	0.42737532478981
GSM3428729	tumor	Plasma cells	0.0264125172615347
GSM3428729	tumor	Macrophages M0	0
GSM3428729	tumor	T cells CD8	0.00443282808868512
GSM3428729	tumor	Macrophages M1	0.0547767124686632
GSM3428729	tumor	T cells follicular helper	0.0255332316504138
GSM3428729	tumor	Mast cells activated	0.0521938126511778
GSM3428729	tumor	B cells memory	0
GSM3428729	tumor	NK cells activated	0.0661777956978998
GSM3428730	tumor	T cells CD4 memory resting	0.093359754020747
GSM3428730	tumor	Macrophages M2	0.335552109974264
GSM3428730	tumor	Plasma cells	0.132670824850553
GSM3428730	tumor	Macrophages M0	0
GSM3428730	tumor	T cells CD8	0.105802796335652
GSM3428730	tumor	Macrophages M1	0.0730918620668812
GSM3428730	tumor	T cells follicular helper	0.0383957424963973
GSM3428730	tumor	Mast cells activated	0.0701436625634039
GSM3428730	tumor	B cells memory	0
GSM3428730	tumor	NK cells activated	0.0554934387495054
GSM3428731	tumor	T cells CD4 memory resting	0.0964881524017155
GSM3428731	tumor	Macrophages M2	0.189859937455713
GSM3428731	tumor	Plasma cells	0.16677671425941001
GSM3428731	tumor	Macrophages M0	0
GSM3428731	tumor	T cells CD8	0.249467652870823
GSM3428731	tumor	Macrophages M1	0.128220882648196
GSM3428731	tumor	T cells follicular helper	0.0107054143411025
GSM3428731	tumor	Mast cells activated	0.037612131424272
GSM3428731	tumor	B cells memory	0.0251489555913841
GSM3428731	tumor	NK cells activated	0.0395550267950492
GSM3428732	tumor	T cells CD4 memory resting	0.327097386023376
GSM3428732	tumor	Macrophages M2	0
GSM3428732	tumor	Plasma cells	0.0545970411160927
