dataset	score	n_tumor	n_non_tumor	delta_tumor_minus_nontumor	cohens_d	p_value	AUC	AUC_low	AUC_high	module_size	topN	delta
GSE121248	HCCStateScore	70	37	3.269219477639795	3.784897281077538	3.483901636542786e-32	0.9613899613899616	0.9080742082028176	1	10	10	3.269219477639795
GSE41804	HCCStateScore	20	20	2.8263631188111837	2.800635681991814	1.5399278520279488e-10	0.965	0.9080349072389892	1	10	10	2.8263631188111837
GSE14520	HCCStateScore	225	220	3.02218597963262	4.747656784471127	1.258989577936565e-183	0.991030303030303	0.9818555409418276	1	10	10	3.02218597963262
GSE25097	HCCStateScore	268	289	2.633086095232673	4.275748804905964	6.857869398940207e-206	0.99789547074317	0.9960552158172706	0.9997357256690697	10	10	2.633086095232673
GSE76427	HCCStateScore	115	52	2.506218056106981	3.2656949216068645	8.536110646194674e-38	0.9688963210702342	0.9391416064463654	0.998651035694103	10	10	2.506218056106981
GSE36376	HCCStateScore	240	193	2.5503158007190794	4.641927675289142	7.167981964948311e-173	0.993825561312608	0.9859640631704965	1	10	10	2.5503158007190794
GSE57957	HCCStateScore	39	39	2.529591350345523	2.9341528274207263	1.7698125023450582e-20	0.9421433267587114	0.8766250578971835	1	10	10	2.529591350345523
GSE45267	HCCStateScore	46	41	3.114025841791486	4.22916852942178	7.191206746295302e-26	0.9671261930010604	0.9244851311706224	1	10	10	3.114025841791486
GSE112790	HCCStateScore	183	15	4.327774624469006	4.5702625314154215	9.025061163141063e-24	0.9978142076502732	0.9940234263396008	1	10	10	4.327774624469006
GSE121248	HCCStateScore	70	37	3.220899359071286	3.798479064816863	1.4557661410686247e-32	0.9613899613899616	0.9077702558737726	1	15	15	3.220899359071286
GSE41804	HCCStateScore	20	20	2.7987346186308297	2.8408006538366024	1.1437336130607249e-10	0.9675	0.9149904045524628	1	15	15	2.7987346186308297
GSE14520	HCCStateScore	225	220	2.9340219491711146	4.892506103657751	1.014632940780093e-188	0.9903232323232324	0.9817860879349825	0.998860376711482	15	15	2.9340219491711146
GSE25097	HCCStateScore	268	289	2.652651333101167	4.501379394365207	3.215337620574299e-218	0.9978180034085627	0.9957708070161074	0.9998651998010178	15	15	2.652651333101167
