analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	sample_id	tissue	HBV_INJURY	E2F	G2M	CIBERSORTx_PC1	CIBERSORTx_PC2	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428716	tumor	0.4993699038819009	0.39504405241618756	0.30845110677629983	0.013286611388541703	1.2365009137345406	0.0286372632057998	0	0.045012805119697	0.157347276287749	0	0.0105729105175059	0	0.0814228415723606	0	0	0	0.0700053733539716	0.139640699784425	0	0.0916842261894907	0.167527298445442	0.0616436205201425	0.00549933471628161	0	0.0861453038832061	0	0.0548610464039276
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428717	tumor	0.26233277472956107	0.27818348498648204	0.3648964265391358	-2.1314732459928503	-0.798099050397561	0	0.100541214142061	0.0873486833909783	0.0916474175054362	0	0.193259882287408	0	0.00786612225511296	0.0320996433129064	0	0	0.115606271754744	0.0507871928043408	0.0834911074788691	0	0.145666308514389	0	0.0334308402909738	0.0500888557767957	0	0	0.00816646048598486
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428718	tumor	1.3063361590774514	0.30599828860579986	0.3716310858951269	0.6295244076688663	1.495928288044094	0	0.0496139154663456	0.176150113196316	0.0773218634902724	0	0.104776935044705	0	0.00466979753429552	0.00820872816915927	0	0	0.0634231396969397	0	0.107968014130286	0.0630476394040164	0.173558590788325	0	0.00724996297504861	0	0.0704240740546012	0	0.0935872260496882
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428719	tumor	-0.20088229718065603	0.5299562029930467	0.4670243724268037	1.7939926890226896	1.0973184789944346	0	0.0953704967381061	0.0718223470561943	0.0243898712141561	0	0.249432060323332	0	0	0.0313085276108149	0	0	0.0621739224617068	0	0	0.0251710663923833	0.253474909034991	0	0.00563536898098817	0	0.0821989882707029	0	0.0990224419166249
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428720	tumor	-0.301333620115535	0.25190533669703036	0.23233385765988246	-2.5174720765615946	-1.9331807817615714	0	0.0342018311574812	0.0643168086260113	0.0747750908057163	0	0.369136018603108	0	0	0.0442861014688697	0	0.0847592335677313	0.0209465130668737	0.109102481755783	0.0620131714535598	0.0169379074395972	0.0329522095209629	0	0.0555340707561986	0.0221257924851225	0	0	0.00891276929298409
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428721	tumor	-0.3350352770292383	0.16198337456114398	0.06229325035047162	0.3755141400579749	-0.727954532329816	0	0	0.047626359974306	0.0636844897161617	0	0.233790201976699	0	0.0485087582826975	0.0345265541485425	0	0	0.0727253984563186	0.0497890257757921	0.0692282707671981	0.100205167058373	0.236147947553235	0.00777098703625356	0	0	0.0359968392544227	0	0
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428722	tumor	0.3042399108081615	0.6381042403832604	0.5409703523039249	0.3940269509566963	-2.6231423670733576	0	0.071650146878152	0.218029524718966	0.116381544306447	0	0.0604135451974949	0	0.0709817784032124	0.0274773593068427	0.0156179876461044	0	0.0833234982446117	0.0328978096153347	0.0116673082234585	0.13898265082402	0.107789313591797	0.00491512179493924	0	0.0398724112486201	0	0	0
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428723	tumor	0.847882516648545	0.36432696134041803	0.3545133090955546	0.6509476286398787	0.08986514385419839	0	0.0309795123623125	0.225602445644418	0.110096123692374	0	0.0167166220688685	0	0.0557917577078922	0.0220777412692032	0	0	0.0632749903739237	0.00216712187461251	0.0799578350811673	0.0557430274284787	0.267669916565391	0.0477994334805426	0	0	0.0143248684748172	0	0.00779860397599929
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428724	tumor	0.28715702917461444	-0.5277540094529963	-0.5618257097090347	-0.6995638621628729	1.695183705610254	0	0.050468315760976	0.127380435947419	0.0502295165024837	0	0.060222086687344	0	0.0312968689162261	0	0.0168735265300892	0.00338482093037154	0.00296393103829289	0.0312576671872624	0.00773270705876209	0.00873540604784695	0.412548329658057	0.0120396092070437	0.00233267276408455	0	0.116333982340466	0	0.0662001234232737
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428725	tumor	-0.8562946148131346	0.3270152575497961	0.15846118220902383	-1.3562396453006125	0.8848542129029605	0.0390591712339664	0	0.0425111311577292	0.155808789850742	0	0.130902024467124	0	0.0262515471222691	0.0878591755507	0	0.0308723753158343	0.0236777729433443	0.0593884629178824	0	0.0250736950042158	0.28271729487512	0	0	0	0.0665552165792015	0	0.029323342981872
