pathway	sample_id	z_score	tissue
E2F TARGETS	GSM3428771	0.2650586559790711	tumor
E2F TARGETS	GSM3428772	0.796865991110894	tumor
E2F TARGETS	GSM3428773	1.2389831994960714	tumor
E2F TARGETS	GSM3428774	0.3571430783583173	tumor
E2F TARGETS	GSM3428775	0.9104989928238438	tumor
E2F TARGETS	GSM3428776	1.3765001881120116	tumor
E2F TARGETS	GSM3428777	0.9799767167188392	tumor
E2F TARGETS	GSM3428778	1.3396492616576414	tumor
E2F TARGETS	GSM3428779	0.8503380499682112	tumor
E2F TARGETS	GSM3428780	1.0371411482625366	tumor
E2F TARGETS	GSM3428781	1.0969034617727809	tumor
E2F TARGETS	GSM3428782	0.009996365162854067	tumor
E2F TARGETS	GSM3428783	1.4960436553214056	tumor
E2F TARGETS	GSM3428784	1.341243768244536	tumor
E2F TARGETS	GSM3428785	-1.3538575475579688	tumor
MYC TARGETS V1	GSM3428786	-1.4010154421767702	non_tumor
MYC TARGETS V1	GSM3428787	-1.183838781093763	non_tumor
MYC TARGETS V1	GSM3428788	0.5947788437504972	non_tumor
MYC TARGETS V1	GSM3428789	1.5093033353136225	non_tumor
MYC TARGETS V1	GSM3428790	-0.9708525361696331	non_tumor
MYC TARGETS V1	GSM3428791	-0.7400495621316561	non_tumor
MYC TARGETS V1	GSM3428792	-1.2699514275250907	non_tumor
MYC TARGETS V1	GSM3428793	-1.2682747284138802	non_tumor
MYC TARGETS V1	GSM3428794	-1.2004930606964268	non_tumor
MYC TARGETS V1	GSM3428795	-0.8278522059416495	non_tumor
MYC TARGETS V1	GSM3428796	-1.4364812442827088	non_tumor
MYC TARGETS V1	GSM3428797	-0.6807453616899886	non_tumor
MYC TARGETS V1	GSM3428798	-1.5144038578192858	non_tumor
MYC TARGETS V1	GSM3428799	-1.0687654012528816	non_tumor
MYC TARGETS V1	GSM3428800	-0.9115271024845861	non_tumor
MYC TARGETS V1	GSM3428801	-1.0736928934763623	non_tumor
MYC TARGETS V1	GSM3428802	0.09626983005356701	non_tumor
MYC TARGETS V1	GSM3428803	-0.1810607658536963	non_tumor
MYC TARGETS V1	GSM3428804	-0.9205543442544943	non_tumor
MYC TARGETS V1	GSM3428805	-1.4239100154134605	non_tumor
MYC TARGETS V1	GSM3428806	-1.1398117163622372	non_tumor
MYC TARGETS V1	GSM3428807	-1.1702113429178307	non_tumor
MYC TARGETS V1	GSM3428808	-1.5794063712448967	non_tumor
MYC TARGETS V1	GSM3428809	0.413597151422876	non_tumor
MYC TARGETS V1	GSM3428810	-0.18428711189777047	non_tumor
MYC TARGETS V1	GSM3428811	-1.4880356271804354	non_tumor
MYC TARGETS V1	GSM3428812	-0.88898134373989	non_tumor
MYC TARGETS V1	GSM3428813	-1.1362817108042875	non_tumor
MYC TARGETS V1	GSM3428814	-1.0918693942587852	non_tumor
MYC TARGETS V1	GSM3428815	-1.4349368255210766	non_tumor
MYC TARGETS V1	GSM3428816	-1.51197334781535	non_tumor
MYC TARGETS V1	GSM3428817	-1.2836153822727043	non_tumor
MYC TARGETS V1	GSM3428818	-1.2358890325295515	non_tumor
MYC TARGETS V1	GSM3428819	-0.8383665758707649	non_tumor
MYC TARGETS V1	GSM3428820	-1.2198425884046475	non_tumor
MYC TARGETS V1	GSM3428821	-1.1462061689435963	non_tumor
MYC TARGETS V1	GSM3428822	-0.2204680348916038	non_tumor
MYC TARGETS V1	GSM3428716	1.0907310330461268	tumor
MYC TARGETS V1	GSM3428717	0.9251492093924353	tumor
MYC TARGETS V1	GSM3428718	0.5865219054548564	tumor
MYC TARGETS V1	GSM3428719	1.4337111742479702	tumor
MYC TARGETS V1	GSM3428720	1.1096835406499574	tumor
MYC TARGETS V1	GSM3428721	-0.026152602429448998	tumor
MYC TARGETS V1	GSM3428722	0.8459215765392436	tumor
MYC TARGETS V1	GSM3428723	0.9507030590392738	tumor
MYC TARGETS V1	GSM3428724	-1.1556453340830688	tumor
MYC TARGETS V1	GSM3428725	0.30863979788481205	tumor
MYC TARGETS V1	GSM3428726	-0.024646668674536236	tumor
MYC TARGETS V1	GSM3428727	0.7613891517722544	tumor
MYC TARGETS V1	GSM3428728	1.2603392001474762	tumor
MYC TARGETS V1	GSM3428729	0.5348411328389572	tumor
MYC TARGETS V1	GSM3428730	-1.4595719995474699	tumor
MYC TARGETS V1	GSM3428731	-0.8094470656019052	tumor
MYC TARGETS V1	GSM3428732	1.4216241651296029	tumor
MYC TARGETS V1	GSM3428733	-0.14118223186227788	tumor
MYC TARGETS V1	GSM3428734	0.6225817331570387	tumor
MYC TARGETS V1	GSM3428735	-0.42205460911244413	tumor
MYC TARGETS V1	GSM3428736	0.10742721176607711	tumor
MYC TARGETS V1	GSM3428737	-0.5700621879981315	tumor
MYC TARGETS V1	GSM3428738	1.4759492484230494	tumor
MYC TARGETS V1	GSM3428739	0.3176855925537324	tumor
MYC TARGETS V1	GSM3428740	-0.02406495302333947	tumor
MYC TARGETS V1	GSM3428741	0.4547759434816785	tumor
MYC TARGETS V1	GSM3428742	-0.41460888100925164	tumor
MYC TARGETS V1	GSM3428743	-0.6846006264165305	tumor
MYC TARGETS V1	GSM3428744	0.6862078425090468	tumor
MYC TARGETS V1	GSM3428745	0.9697584774297142	tumor
MYC TARGETS V1	GSM3428746	0.4624307036650523	tumor
MYC TARGETS V1	GSM3428747	1.000982366208076	tumor
MYC TARGETS V1	GSM3428748	-0.22994052482274752	tumor
MYC TARGETS V1	GSM3428749	-1.0877273400118703	tumor
MYC TARGETS V1	GSM3428750	0.19131390015431932	tumor
MYC TARGETS V1	GSM3428751	0.5173838962656289	tumor
MYC TARGETS V1	GSM3428752	0.874273169538135	tumor
MYC TARGETS V1	GSM3428753	-0.14788955668606601	tumor
MYC TARGETS V1	GSM3428754	0.4356146304568951	tumor
MYC TARGETS V1	GSM3428755	-1.427660449685167	tumor
MYC TARGETS V1	GSM3428756	0.7905181824917339	tumor
MYC TARGETS V1	GSM3428757	1.4549201902715774	tumor
MYC TARGETS V1	GSM3428758	0.12564607801875657	tumor
MYC TARGETS V1	GSM3428759	0.22290995189554838	tumor
MYC TARGETS V1	GSM3428760	1.0115551712998347	tumor
MYC TARGETS V1	GSM3428761	1.0603420130011443	tumor
MYC TARGETS V1	GSM3428762	1.1460550920243817	tumor
MYC TARGETS V1	GSM3428763	0.8445030911663424	tumor
MYC TARGETS V1	GSM3428764	-0.864062299223961	tumor
MYC TARGETS V1	GSM3428765	1.4561443915745034	tumor
MYC TARGETS V1	GSM3428766	1.305128787791842	tumor
MYC TARGETS V1	GSM3428767	1.5428319982284708	tumor
MYC TARGETS V1	GSM3428768	1.1906833668270858	tumor
MYC TARGETS V1	GSM3428769	-0.5829674172611967	tumor
MYC TARGETS V1	GSM3428770	1.2145107466645404	tumor
MYC TARGETS V1	GSM3428771	-0.5176869263358811	tumor
MYC TARGETS V1	GSM3428772	0.9411419698090245	tumor
