id	data_format	cases	access	file_name	submitter_id	data_category	type	platform	file_size	created_datetime	md5sum	updated_datetime	file_id	data_type	state	experimental_strategy	version	data_release	project	analysis_id	analysis_state	analysis_submitter_id	analysis_workflow_link	analysis_workflow_type	analysis_workflow_version	sample_type	is_ffpe	cases.submitter_id	sample.submitter_id	case_barcode_raw	file_identifier	patient	sample_id_base	sample_id	sample_type_text	tissue	file_path
d6919e3b-f539-4786-90f6-b93cd0da99b2	TSV	TCGA-DD-AADR-01A-11R-A41C-07	open	39ea2fe7-54bb-4147-85fa-b022a034d063.rna_seq.augmented_star_gene_counts.tsv	ca49ed18-0fab-4113-b8ac-0aed82d41070	Transcriptome Profiling	gene_expression	Illumina	4205348	2021-12-13T18:39:14.515216-06:00	f4aa3310d8c04695bbf8bdeb570977d6	2024-07-30T12:51:49.699668-05:00	d6919e3b-f539-4786-90f6-b93cd0da99b2	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	0bc25d8e-7421-45e5-ad44-ec8290607059	released	39ea2fe7-54bb-4147-85fa-b022a034d063_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-DD-AADR	TCGA-DD-AADR-01A	TCGA-DD-AADR-01A-11R-A41C-07	d6919e3b-f539-4786-90f6-b93cd0da99b2	TCGA-DD-AADR	TCGA-DD-AADR-01A-11R-A41C-07	TCGA-DD-AADR-01A-11R-A41C-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/d6919e3b-f539-4786-90f6-b93cd0da99b2/39ea2fe7-54bb-4147-85fa-b022a034d063.rna_seq.augmented_star_gene_counts.tsv
c54bfdec-b24e-48b9-8fb0-c2d4e083d939	TSV	TCGA-DD-A73F-01A-11R-A32O-07	open	0dac8c60-2d8f-46cd-b970-d0cd524374c7.rna_seq.augmented_star_gene_counts.tsv	8b98d80b-6221-457a-a3fb-1aefcbbf035b	Transcriptome Profiling	gene_expression	Illumina	4217843	2021-12-13T18:46:53.160847-06:00	0a86d1cf6a12ff33106a311a5e0f3d72	2024-07-30T12:51:08.968009-05:00	c54bfdec-b24e-48b9-8fb0-c2d4e083d939	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	95c42b8f-fae8-440f-ae84-52cfeab212b1	released	0dac8c60-2d8f-46cd-b970-d0cd524374c7_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-DD-A73F	TCGA-DD-A73F-01A	TCGA-DD-A73F-01A-11R-A32O-07	c54bfdec-b24e-48b9-8fb0-c2d4e083d939	TCGA-DD-A73F	TCGA-DD-A73F-01A-11R-A32O-07	TCGA-DD-A73F-01A-11R-A32O-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/c54bfdec-b24e-48b9-8fb0-c2d4e083d939/0dac8c60-2d8f-46cd-b970-d0cd524374c7.rna_seq.augmented_star_gene_counts.tsv
d4aaf7f0-4944-46c7-a755-38976d004915	TSV	TCGA-DD-AACV-01A-11R-A41C-07	open	7e0e5876-f19b-4c72-b06f-bb6d6bc01d67.rna_seq.augmented_star_gene_counts.tsv	d4c70786-0bab-4547-ab0e-a70dd4cc92c1	Transcriptome Profiling	gene_expression	Illumina	4209172	2021-12-13T18:33:40.421781-06:00	cbc6b201159c16a04456e88b5e18b4b1	2024-07-30T12:51:01.528147-05:00	d4aaf7f0-4944-46c7-a755-38976d004915	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	41d1f260-9e07-4b65-9fbe-43453cd6582c	released	7e0e5876-f19b-4c72-b06f-bb6d6bc01d67_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-DD-AACV	TCGA-DD-AACV-01A	TCGA-DD-AACV-01A-11R-A41C-07	d4aaf7f0-4944-46c7-a755-38976d004915	TCGA-DD-AACV	TCGA-DD-AACV-01A-11R-A41C-07	TCGA-DD-AACV-01A-11R-A41C-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/d4aaf7f0-4944-46c7-a755-38976d004915/7e0e5876-f19b-4c72-b06f-bb6d6bc01d67.rna_seq.augmented_star_gene_counts.tsv
6983f3b9-c9ba-433a-8f13-6429122ca395	TSV	TCGA-UB-A7MF-01A-11R-A33J-07	open	6671e092-52aa-4fff-b052-21bfe69a1658.rna_seq.augmented_star_gene_counts.tsv	e4f72837-d778-43af-8baa-d337128715f1	Transcriptome Profiling	gene_expression	Illumina	4225782	2021-12-13T18:45:21.619395-06:00	03a2fc14a92425733810d7192c521057	2024-07-30T12:46:07.077019-05:00	6983f3b9-c9ba-433a-8f13-6429122ca395	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	5f1c8a87-00d8-4df5-8c0c-32784a589766	released	6671e092-52aa-4fff-b052-21bfe69a1658_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-UB-A7MF	TCGA-UB-A7MF-01A	TCGA-UB-A7MF-01A-11R-A33J-07	6983f3b9-c9ba-433a-8f13-6429122ca395	TCGA-UB-A7MF	TCGA-UB-A7MF-01A-11R-A33J-07	TCGA-UB-A7MF-01A-11R-A33J-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/6983f3b9-c9ba-433a-8f13-6429122ca395/6671e092-52aa-4fff-b052-21bfe69a1658.rna_seq.augmented_star_gene_counts.tsv
6499e9dc-8755-47c0-845d-c570da6f908e	TSV	TCGA-DD-AACU-01A-11R-A41C-07	open	8acd0b6c-f45d-432c-a78c-51690c3bc5fd.rna_seq.augmented_star_gene_counts.tsv	487ea479-1ab2-4dab-8dee-98e8fbfc5560	Transcriptome Profiling	gene_expression	Illumina	4220117	2021-12-13T18:37:52.902185-06:00	1a65c45c138c98894672e01b2087994e	2024-07-30T12:46:04.460660-05:00	6499e9dc-8755-47c0-845d-c570da6f908e	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	fcabd606-13fd-44e9-8f86-860783e158ce	released	8acd0b6c-f45d-432c-a78c-51690c3bc5fd_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-DD-AACU	TCGA-DD-AACU-01A	TCGA-DD-AACU-01A-11R-A41C-07	6499e9dc-8755-47c0-845d-c570da6f908e	TCGA-DD-AACU	TCGA-DD-AACU-01A-11R-A41C-07	TCGA-DD-AACU-01A-11R-A41C-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/6499e9dc-8755-47c0-845d-c570da6f908e/8acd0b6c-f45d-432c-a78c-51690c3bc5fd.rna_seq.augmented_star_gene_counts.tsv
11e8ec14-c489-4c66-b387-fea14555a3f3	TSV	TCGA-ED-A7PY-01A-11R-A33R-07	open	8463e3a8-18a2-42ea-8edc-3c0b78de1b40.rna_seq.augmented_star_gene_counts.tsv	3480d188-da38-44e5-8fe8-fe6e536936e4	Transcriptome Profiling	gene_expression	Illumina	4201778	2021-12-13T18:34:51.233907-06:00	b04e884dff331461fb611122bb87bd1b	2024-07-30T12:43:24.973129-05:00	11e8ec14-c489-4c66-b387-fea14555a3f3	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	f5821f96-b428-4742-9a7b-f25f055742d6	released	8463e3a8-18a2-42ea-8edc-3c0b78de1b40_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-ED-A7PY	TCGA-ED-A7PY-01A	TCGA-ED-A7PY-01A-11R-A33R-07	11e8ec14-c489-4c66-b387-fea14555a3f3	TCGA-ED-A7PY	TCGA-ED-A7PY-01A-11R-A33R-07	TCGA-ED-A7PY-01A-11R-A33R-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/11e8ec14-c489-4c66-b387-fea14555a3f3/8463e3a8-18a2-42ea-8edc-3c0b78de1b40.rna_seq.augmented_star_gene_counts.tsv
70aed113-9cee-4797-bd82-476a84b4b7e4	TSV	TCGA-G3-A5SL-01A-11R-A27V-07	open	6e2e99b7-d686-4a88-867c-edbcc22acaed.rna_seq.augmented_star_gene_counts.tsv	30bca734-756d-4c93-9d1d-c9beef0f12a5	Transcriptome Profiling	gene_expression	Illumina	4214864	2021-12-13T18:32:13.218117-06:00	daf404d4524260edff5a933524a5011f	2024-07-30T12:48:16.930750-05:00	70aed113-9cee-4797-bd82-476a84b4b7e4	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	94b31778-d33a-4859-b6b4-9b8b04f38add	released	6e2e99b7-d686-4a88-867c-edbcc22acaed_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-G3-A5SL	TCGA-G3-A5SL-01A	TCGA-G3-A5SL-01A-11R-A27V-07	70aed113-9cee-4797-bd82-476a84b4b7e4	TCGA-G3-A5SL	TCGA-G3-A5SL-01A-11R-A27V-07	TCGA-G3-A5SL-01A-11R-A27V-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/70aed113-9cee-4797-bd82-476a84b4b7e4/6e2e99b7-d686-4a88-867c-edbcc22acaed.rna_seq.augmented_star_gene_counts.tsv
5180b82d-ce78-4d0f-8624-f7678732344b	TSV	TCGA-EP-A12J-11A-11R-A131-07	open	6f8d77aa-5852-4467-8ef9-b7881294b969.rna_seq.augmented_star_gene_counts.tsv	eb435f11-f9ad-4978-a821-fa6eb6433ad9	Transcriptome Profiling	gene_expression	Illumina	4198304	2021-12-13T18:51:45.635583-06:00	f1c1e2c36e53ecebf21b3c5fba19dfcd	2024-07-30T12:45:35.546850-05:00	5180b82d-ce78-4d0f-8624-f7678732344b	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	c3d7467f-9a83-4dfb-82f1-ca70fa795858	released	6f8d77aa-5852-4467-8ef9-b7881294b969_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Solid Tissue Normal	NA	TCGA-EP-A12J	TCGA-EP-A12J-11A	TCGA-EP-A12J-11A-11R-A131-07	5180b82d-ce78-4d0f-8624-f7678732344b	TCGA-EP-A12J	TCGA-EP-A12J-11A-11R-A131-07	TCGA-EP-A12J-11A-11R-A131-07	Solid Tissue Normal	non_tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/5180b82d-ce78-4d0f-8624-f7678732344b/6f8d77aa-5852-4467-8ef9-b7881294b969.rna_seq.augmented_star_gene_counts.tsv
3f1f1922-1263-4e5d-819b-2c89e8b5548d	TSV	TCGA-DD-A3A4-01A-11R-A22L-07	open	427c0560-88ff-45a9-98a7-9d7cf3354138.rna_seq.augmented_star_gene_counts.tsv	2deea2aa-674e-4f8d-92a8-ae063cb17fc6	Transcriptome Profiling	gene_expression	Illumina	4200888	2021-12-13T18:38:10.057956-06:00	3d6ad13759d8190f2aea40dd377ca49e	2024-07-30T12:45:00.118195-05:00	3f1f1922-1263-4e5d-819b-2c89e8b5548d	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	11c058ef-89d1-4df7-9c3a-ef125f874384	released	427c0560-88ff-45a9-98a7-9d7cf3354138_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-DD-A3A4	TCGA-DD-A3A4-01A	TCGA-DD-A3A4-01A-11R-A22L-07	3f1f1922-1263-4e5d-819b-2c89e8b5548d	TCGA-DD-A3A4	TCGA-DD-A3A4-01A-11R-A22L-07	TCGA-DD-A3A4-01A-11R-A22L-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/3f1f1922-1263-4e5d-819b-2c89e8b5548d/427c0560-88ff-45a9-98a7-9d7cf3354138.rna_seq.augmented_star_gene_counts.tsv
740bc272-2179-48e2-a801-932a3e90b6fe	TSV	TCGA-DD-AAVS-01A-11R-A41C-07	open	c6029ffa-9ef0-4ce1-84a9-aa42843826ff.rna_seq.augmented_star_gene_counts.tsv	92e2b671-a43e-42bf-af08-12705c81896b	Transcriptome Profiling	gene_expression	Illumina	4225572	2021-12-13T18:41:17.866131-06:00	08a0d4602f0009a0217dfbece1f7e970	2024-07-30T12:47:14.605388-05:00	740bc272-2179-48e2-a801-932a3e90b6fe	Gene Expression Quantification	released	RNA-Seq	1	32.0 - 45.0	TCGA-LIHC	e25dc560-6f0d-4068-bfb4-afecd0b7ea93	released	c6029ffa-9ef0-4ce1-84a9-aa42843826ff_star__counts	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	STAR - Counts	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	Primary Tumor	NA	TCGA-DD-AAVS	TCGA-DD-AAVS-01A	TCGA-DD-AAVS-01A-11R-A41C-07	740bc272-2179-48e2-a801-932a3e90b6fe	TCGA-DD-AAVS	TCGA-DD-AAVS-01A-11R-A41C-07	TCGA-DD-AAVS-01A-11R-A41C-07	Primary Tumor	tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/740bc272-2179-48e2-a801-932a3e90b6fe/c6029ffa-9ef0-4ce1-84a9-aa42843826ff.rna_seq.augmented_star_gene_counts.tsv
