model	score	formula	n	events	term	estimate	std.error	statistic	p.value	conf.low	conf.high
age_sex_stage_adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed	173	74	stage_collapsedIII	NA	0	NA	NA	NA	NA
age_sex_stage_adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed	173	74	stage_collapsedIV	3.6896743189531063	0.621168099359815	2.1017470070604842	0.03557544345649318	1.0920657549008292	12.466004467998664
age_sex_stage_adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	scale(HepLossScore)	0.8819746481881328	0.14729958409426672	-0.8526294742213586	0.3938648122479117	0.6608067468510498	1.177166068224058
age_sex_stage_adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	age_tmp	0.9961842365656627	0.008406453947519923	-0.45477701488579597	0.6492696679013921	0.9799052369263932	1.012733676467183
age_sex_stage_adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	gender_tmpmale	1.1332602941617282	0.2552333457206739	0.4901346028910846	0.6240386536401304	0.6871865568469641	1.868894089279361
age_sex_stage_adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedII	NA	0	NA	NA	NA	NA
age_sex_stage_adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedIII	NA	0	NA	NA	NA	NA
age_sex_stage_adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedIV	2.7342170781311657	0.6089062851533117	1.651888244771995	0.09855733488047784	0.8289551271119223	9.018513530871443
age_sex_stage_adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	scale(HCCStateScore)	1.5075248126518577	0.15058590189393228	2.725813663774588	0.006414319846847266	1.122239412724145	2.0250857660081563
age_sex_stage_adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	age_tmp	1.0000510802872928	0.008754012913233054	0.005834922023264638	0.9953444322216514	0.9830390138693678	1.0173575504874939
age_sex_stage_adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	gender_tmpmale	1.2360197580915864	0.26001547539890413	0.8149374343724824	0.4151081240401571	0.7425057807704306	2.057552792124503
age_sex_stage_adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedII	NA	0	NA	NA	NA	NA
age_sex_stage_adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedIII	NA	0	NA	NA	NA	NA
age_sex_stage_adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedIV	3.3633278454072992	0.6164760607353822	1.9675231387843644	0.04912293101432595	1.004670912492244	11.259382604828257
