module	gene	rank	module_size
ProlifHub	CAP2	1	30
ProlifHub	ASPM	2	30
ProlifHub	CENPW	3	30
ProlifHub	PLVAP	4	30
ProlifHub	TOP2A	5	30
ProlifHub	ECT2	6	30
ProlifHub	NUSAP1	7	30
ProlifHub	ITGA6	8	30
ProlifHub	RACGAP1	9	30
ProlifHub	TTC13	10	30
ProlifHub	COL15A1	11	30
ProlifHub	GJC1	12	30
ProlifHub	PRC1	13	30
ProlifHub	CDKN3	14	30
ProlifHub	UBE2Q1	15	30
ProlifHub	BUB1B	16	30
ProlifHub	ANLN	17	30
ProlifHub	PTTG1	18	30
ProlifHub	CENPF	19	30
ProlifHub	IRAK1	20	30
ProlifHub	RFX5	21	30
ProlifHub	SSR2	22	30
ProlifHub	UBE2T	23	30
ProlifHub	CCNB1	24	30
ProlifHub	GRPEL2	25	30
ProlifHub	TBC1D16	26	30
ProlifHub	FAM189B	27	30
ProlifHub	NEK2	28	30
ProlifHub	PRCC	29	30
ProlifHub	KIF20A	30	30
HepLoss	FCN2	1	30
HepLoss	CLEC4M	2	30
HepLoss	LINC01093	3	30
HepLoss	ADAMTS13	4	30
HepLoss	FAM65C	5	30
HepLoss	ANGPTL6	6	30
HepLoss	ADGRG7	7	30
HepLoss	CDHR2	8	30
HepLoss	CLEC1B	9	30
HepLoss	CXCL14	10	30
HepLoss	VIPR1	11	30
HepLoss	PLAC8	12	30
HepLoss	CFP	13	30
HepLoss	CYP1A2	14	30
HepLoss	CRHBP	15	30
HepLoss	HHIP	16	30
HepLoss	STAB2	17	30
HepLoss	FAHD2A	18	30
HepLoss	ECM1	19	30
HepLoss	FCN3	20	30
HepLoss	LCAT	21	30
HepLoss	KDM8	22	30
HepLoss	BDH2	23	30
HepLoss	PITPNM3	24	30
HepLoss	DBH	25	30
HepLoss	OIT3	26	30
HepLoss	BMPER	27	30
HepLoss	HGFAC	28	30
HepLoss	EPHA2	29	30
HepLoss	CCBE1	30	30
