module	gene	rank	module_size
ProlifHub	CAP2	1	15
ProlifHub	ASPM	2	15
ProlifHub	CENPW	3	15
ProlifHub	PLVAP	4	15
ProlifHub	TOP2A	5	15
ProlifHub	ECT2	6	15
ProlifHub	NUSAP1	7	15
ProlifHub	ITGA6	8	15
ProlifHub	RACGAP1	9	15
ProlifHub	TTC13	10	15
ProlifHub	COL15A1	11	15
ProlifHub	GJC1	12	15
ProlifHub	PRC1	13	15
ProlifHub	CDKN3	14	15
ProlifHub	UBE2Q1	15	15
HepLoss	FCN2	1	15
HepLoss	CLEC4M	2	15
HepLoss	LINC01093	3	15
HepLoss	ADAMTS13	4	15
HepLoss	FAM65C	5	15
HepLoss	ANGPTL6	6	15
HepLoss	ADGRG7	7	15
HepLoss	CDHR2	8	15
HepLoss	CLEC1B	9	15
HepLoss	CXCL14	10	15
HepLoss	VIPR1	11	15
HepLoss	PLAC8	12	15
HepLoss	CFP	13	15
HepLoss	CYP1A2	14	15
HepLoss	CRHBP	15	15
