sample_id	ProlifHubScore	HepLossScore	HCCStateScore	patient	tissue	sample_type_text	file_path
TCGA-DD-AAVS-01A-11R-A41C-07	0.6547648331672347	-0.38452151388913175	1.0392863470563665	TCGA-DD-AAVS	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/740bc272-2179-48e2-a801-932a3e90b6fe/c6029ffa-9ef0-4ce1-84a9-aa42843826ff.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A11D-01A-11R-A131-07	-0.3167512710207196	-0.37451025205932215	0.05775898103860255	TCGA-DD-A11D	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/8088cd3e-c3dc-45dc-8b66-637ada8ef440/4bc57c95-5c4e-4aad-a05a-ab5fafd76a1d.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A4NB-01A-12R-A266-07	-0.020863486732396797	-0.12245628668819596	0.10159279995579916	TCGA-DD-A4NB	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/381f27e4-5056-4fae-9f32-1e5d210f5d33/6d0497fb-e6ce-48d7-81a3-f8f40e31744b.rna_seq.augmented_star_gene_counts.tsv
TCGA-5R-AA1C-01A-11R-A41C-07	0.10432748284532659	-0.3893788431751203	0.49370632602044684	TCGA-5R-AA1C	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/a7c4c791-8baf-49db-998f-19898bfac217/64c42fa6-9a40-4007-a0c1-c71dd67f402a.rna_seq.augmented_star_gene_counts.tsv
TCGA-ED-A8O5-01A-11R-A36F-07	0.47798890951926964	-0.5304759193974077	1.0084648289166773	TCGA-ED-A8O5	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/991558d8-6ea1-4689-a3fc-ba6172b21828/103f757b-a61e-4346-87a4-b4b290dd99f3.rna_seq.augmented_star_gene_counts.tsv
TCGA-MR-A520-01A-11R-A266-07	-0.9387501498800391	-0.18946822003008448	-0.7492819298499547	TCGA-MR-A520	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/426b0e75-593f-4992-b355-b751160e05a0/cfa0d88b-5da4-41be-b3df-7b567a6fef9c.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A10W-01A-11R-A131-07	1.212173976905806	-0.6636032671309569	1.8757772440367628	TCGA-BC-A10W	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/f031e82a-99ac-46fc-abeb-7ad9bd535812/71709b9d-4bb5-443c-89a6-863ddeea86ad.rna_seq.augmented_star_gene_counts.tsv
TCGA-G3-A3CG-01A-11R-A213-07	-0.18857085710765067	-0.3823848495707905	0.19381399246313982	TCGA-G3-A3CG	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/2af41f58-7487-493b-9839-cc8719adf8d0/ef3f524a-1496-408d-a9f0-cdf029be4830.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A10X-11A-11R-A131-07	-1.42757482909646	1.8631895645618675	-3.2907643936583275	TCGA-BC-A10X	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/51c45ad0-3a73-4561-9a2c-7a4c00de52c5/d47d25be-4859-450a-a110-0e4bc7e2896b.rna_seq.augmented_star_gene_counts.tsv
TCGA-FV-A3I0-11A-11R-A22L-07	-1.7572658367978813	1.3661615014607753	-3.1234273382586566	TCGA-FV-A3I0	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/ddeb287b-8d2f-40f2-89dc-def570237300/23a791d2-b0fd-4c72-b3e8-ab3ecfb3c4b8.rna_seq.augmented_star_gene_counts.tsv
TCGA-G3-AAV5-01A-11R-A37K-07	0.10390094887122255	-0.5000798926613935	0.6039808415326161	TCGA-G3-AAV5	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/cc0010d2-52db-4b15-a750-dd57d148520b/d85ea3ad-ab38-453d-b382-06cea6bc9e1b.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AAD6-01A-11R-A41C-07	-0.01776839270530602	-0.5367189640305381	0.518950571325232	TCGA-DD-AAD6	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/afd5435d-07a2-4c95-b2b6-4a02c2a79d9c/d93bb6e9-c535-4deb-9207-18a728f80c31.rna_seq.augmented_star_gene_counts.tsv
TCGA-FV-A3R3-01A-11R-A22L-07	-0.284027516827667	-0.14737990508260815	-0.13664761174505888	TCGA-FV-A3R3	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/1994b978-6d9f-4f05-b88d-a6cebeabd19c/9aa968ad-63fa-4db4-97b8-042cdbb6b459.rna_seq.augmented_star_gene_counts.tsv
TCGA-2Y-A9GW-01A-11R-A38B-07	0.03641928245104823	-0.28160305676564884	0.3180223392166971	TCGA-2Y-A9GW	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/932a3fef-7955-4246-88c7-c6579691501d/65cef856-5e89-4954-bf0c-532e188c1646.rna_seq.augmented_star_gene_counts.tsv
TCGA-EP-A3JL-01A-11R-A213-07	0.1976453643987099	-0.36861016317387174	0.5662555275725816	TCGA-EP-A3JL	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/1f63ae9f-5b3d-4367-aba8-d6222cc05667/6916d291-a782-4469-8a66-e9454cc3752f.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A4NH-01A-11R-A27V-07	1.1082672844820678	-0.2652369859010009	1.3735042703830687	TCGA-DD-A4NH	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/e1677731-3f36-462c-8dc1-75e98a4df270/4bc7214f-1bca-4656-a8de-34ea13dca500.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZP-A9D4-01A-11R-A37K-07	-0.10181519174874425	-0.4119266667118813	0.310111474963137	TCGA-ZP-A9D4	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/51d8982b-ade8-4cd7-83c2-bb32eeff4c8a/be150892-6890-4414-9f4d-aeda4ee38708.rna_seq.augmented_star_gene_counts.tsv
TCGA-EP-A2KA-01A-11R-A180-07	0.459902099498688	-0.5875484034702059	1.0474505029688939	TCGA-EP-A2KA	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/4341af2d-dee1-4b4a-ad27-00858396c886/78767f1f-fa6f-4d1a-beb7-a2c11381958e.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AAE7-01A-11R-A41C-07	-0.7573564777943897	0.4712216217889128	-1.2285780995833027	TCGA-DD-AAE7	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/4471dc96-3a94-410f-ba82-b3846aedea59/286b5e5d-29d0-4033-9f0b-2ae0cb3fa397.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A39Z-11A-21R-A213-07	-1.3392080608640344	0.838157375776937	-2.1773654366409714	TCGA-DD-A39Z	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/db6f39e9-6134-47fe-92c7-35d71fd19e68/414b9abf-8e4b-4d3a-b97d-34fb384b43d7.rna_seq.augmented_star_gene_counts.tsv
TCGA-GJ-A9DB-01A-11R-A37K-07	0.3113529845853936	-0.21412688647149306	0.5254798710568866	TCGA-GJ-A9DB	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/1086061d-5910-4b35-be67-c69836917d43/906f244d-0d66-48c1-a646-2ad71d777696.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A73G-01A-22R-A32O-07	-0.3471418645451969	-0.437864682709027	0.0907228181638301	TCGA-DD-A73G	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/e9320bf6-7e13-4cdb-bde3-a64c581622d4/a21df824-3f31-4f4d-aed6-34cf0fe6c01f.rna_seq.augmented_star_gene_counts.tsv
TCGA-WQ-A9G7-01A-11R-A37K-07	0.6924263381357799	0.0854991081533584	0.6069272299824215	TCGA-WQ-A9G7	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/3483feb0-267e-49c8-a186-d2a10d8b95d6/2406118f-a7ea-42f0-89b7-8a6344b826d8.rna_seq.augmented_star_gene_counts.tsv
TCGA-5R-AAAM-01A-12R-A41C-07	-0.4210792614984058	1.337912966851615	-1.7589922283500208	TCGA-5R-AAAM	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/a9cfbc5e-776c-4865-be20-d26741ce5c78/d9c7fcac-4608-4952-8678-71e82b96b29c.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AAC8-01A-11R-A41C-07	9.386097846295304e-4	-0.5479999343865545	0.548938544171184	TCGA-DD-AAC8	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/541260c2-5f9f-459d-9a49-df55b62fba90/ee667570-d3c6-4906-980d-5ff7a66f521d.rna_seq.augmented_star_gene_counts.tsv
TCGA-2Y-A9H5-01A-11R-A38B-07	0.3012190068473977	-0.09242208338834199	0.3936410902357397	TCGA-2Y-A9H5	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/cdca623f-7431-4d68-b54d-f2fd13ecfbf9/e2288704-0fb1-41cc-82f8-b73e41ebb576.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A216-01A-11R-A155-07	1.1153937453755918	-0.16585458585906007	1.2812483312346519	TCGA-BC-A216	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/ebb6d650-3376-438d-a66c-9b866551be5a/b5f97bc7-e5cb-4ec7-9e39-4a51bdc36b0d.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A1EJ-11A-11R-A155-07	-1.4429910987079049	1.7880266900806907	-3.231017788788596	TCGA-DD-A1EJ	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/0940bd97-2818-48f6-a0a5-f955152409b8/c9432a6e-4d79-4de2-8ffa-e3b05129f78f.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AADV-01A-11R-A39D-07	0.42939324890081637	0.2627911875073834	0.16660206139343298	TCGA-DD-AADV	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/d425acd5-869a-4c71-ba4a-4871f07d8b24/26ef8329-84d1-4510-93a7-82c42895e1a3.rna_seq.augmented_star_gene_counts.tsv
TCGA-WX-AA44-01A-11R-A39D-07	0.7471980629422825	-0.289433164372116	1.0366312273143985	TCGA-WX-AA44	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/da5a6e23-37a0-474b-8f6a-539b56f6ac74/dc7a905c-1ee0-40c4-94aa-5d5d6e604c51.rna_seq.augmented_star_gene_counts.tsv
TCGA-XR-A8TD-01A-12R-A39D-07	0.6346497715155629	0.3398848131366006	0.29476495837896227	TCGA-XR-A8TD	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/9a82faa3-37c0-4951-ac43-2c04f2bbf437/d817d1df-e655-4741-9f29-066f02345dfa.rna_seq.augmented_star_gene_counts.tsv
