model	estimate	std.error	statistic	p.value	conf.low	conf.high
unadjusted	0.23704279914701074	0.07488404330217151	3.165464746481403	0.0020265513755911768	0.08856157432393533	0.3855240239700861
proliferation_adjusted	0.13039905294306417	0.09066012733046587	1.4383285881316454	0.15337244396081426	-0.04940392695204493	0.31020203283817327
proliferation_cibersortx_pc_adjusted	0.19019030421018762	0.08173173726016271	2.3270067489791297	0.021961192570215705	0.028056523081781	0.3523240853385943
proliferation_selected_fraction_adjusted	0.18814634652249823	0.07546187589260868	2.4932635757723953	0.0143872336853973	0.038335581680289554	0.3379571113647069
