analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	model	term	estimate	std.error	statistic	p.value	conf.low	conf.high
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	proliferation_selected_fraction_adjusted	Mast.cells.activated	1.0595401555053259	1.0450049422379752	1.0139092292101721	0.3132014357773709	-1.015056954740819	3.1341372657514706
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	unadjusted	(Intercept)	-0.09430375628827636	0.07840432181657465	-1.2027877303613201	0.2317636667780941	-0.24976504311772285	0.061157530541170124
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	unadjusted	tissuetumor	0.1441500274692222	0.09693550372050169	1.4870715262888217	0.1399927464360129	-0.048055169880805215	0.3363552248192496
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_adjusted	(Intercept)	-0.06456841216898916	0.09200838720144934	-0.7017665903394084	0.4844074341117842	-0.2470453475240566	0.11790852318607829
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_adjusted	tissuetumor	0.1379349253605097	0.1232196876527061	1.119422780467342	0.26556350077111157	-0.10644226309128693	0.38231211381230634
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_adjusted	E2F	-2.641942646160983	0.5390866314787631	-4.900775667380022	3.564686046494959e-6	-3.7110938332995156	-1.5727914590224505
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_adjusted	G2M	3.0069876597649956	0.5620437583764509	5.350095281639882	5.338406659919476e-7	1.8923064259832643	4.121668893546727
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_cibersortx_pc_adjusted	(Intercept)	-0.12418836116930453	0.08108460254038688	-1.5315899354313094	0.1287499700730664	-0.28503840109100287	0.0366616787523938
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_cibersortx_pc_adjusted	tissuetumor	0.22585087829018755	0.10896986200852546	2.07259947041612	0.040756113691215436	0.00968398463608136	0.4420177719442937
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_cibersortx_pc_adjusted	E2F	-1.847555056272383	0.4886396164709433	-3.781017735761601	2.6464417328651255e-4	-2.81688461273813	-0.8782254998066361
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_cibersortx_pc_adjusted	G2M	2.300519263514949	0.5027013672991948	4.576313917494757	1.3496795357644838e-5	1.303294975975363	3.297743551054535
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC1	0.1167177221853111	0.021363156601630493	5.463505434229831	3.3691883389438524e-7	0.07433896611366096	0.15909647825696122
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC2	0.06165312887247604	0.022048330986678803	2.7962719223385086	0.006189538331831281	0.01791517113077453	0.10539108661417754
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	(Intercept)	-1.1415609495587378	0.31446487752520935	-3.6301699526594144	4.586614004518477e-4	-1.7658526632328932	-0.5172692358845824
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	tissuetumor	0.22090500938491536	0.10184533041582086	2.1690244263825327	0.032576952539744866	0.018716464974558006	0.4230935537952727
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	E2F	-1.677416078722765	0.39832019878091185	-4.2112252500792575	5.772488620412505e-5	-2.4681816530690797	-0.8866505043764504
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	G2M	2.228550323484351	0.4166240780994915	5.349067518253625	6.092614409917847e-7	1.4014469543527828	3.0556536926159197
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	T.cells.CD4.memory.resting	-0.12577860026967438	0.5410890262268401	-0.2324545392220621	0.8166850430603321	-1.1999761325723213	0.9484189320329726
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	Macrophages.M2	2.1355150092785062	0.44536129360938637	4.7950170792154765	6.012182734878614e-6	1.2513610542179654	3.019668964339047
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	Plasma.cells	3.6502982466209293	0.6479812213326455	5.6333395574545895	1.7966501072476747e-7	2.3638928767175766	4.936703616524282
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	Macrophages.M0	3.2292888312908836	0.5608840740777219	5.7574978155707095	1.0446661956457077e-7	2.1157931603778346	4.342784502203933
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	T.cells.CD8	-0.5092508501226212	0.7241496478412356	-0.703239795311301	0.48362622963498425	-1.946869665187587	0.9283679649423446
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	Macrophages.M1	2.708969725547277	0.7978260339206369	3.395439118770032	0.0010015125400946055	1.1250847910835213	4.292854660011033
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	T.cells.follicular.helper	-2.32857646787548	0.9275740667761554	-2.510394103587437	0.0137497315409134	-4.170043814768518	-0.4871091209824421
topN_sensitivity	HBV_INJURY_TOP_500	results/tables/HBV_INJURY_TOP_500_gene_set.tsv	500	500	proliferation_selected_fraction_adjusted	Mast.cells.activated	0.6985752057562247	0.9282402986244302	0.7525801312348226	0.4535630497572114	-1.1442147785821684	2.5413651900946177
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	unadjusted	(Intercept)	-0.12954412355172612	0.06972638969489742	-1.857892314783167	0.06598602625299037	-0.26779867402535434	0.008710426921902104
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	unadjusted	tissuetumor	0.19801744600049537	0.08620650687470187	2.2970127566856036	0.02360225460467741	0.02708586746881872	0.36894902453217204
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_adjusted	(Intercept)	-0.06629984340772417	0.080791432913614	-0.8206296263938663	0.4137524653191118	-0.22653059551016497	0.09393090869471661
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_adjusted	tissuetumor	0.13947640783951543	0.10819769187817328	1.2890885694360361	0.20025486185055286	-0.07510819500971189	0.35406101068874274
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_adjusted	E2F	-2.2895601321609607	0.4733653392530782	-4.836771817247226	4.637452458296647e-6	-3.228368636880114	-1.3507516274418072
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_adjusted	G2M	2.701025166474674	0.49352370996316336	5.472939013763449	3.129810196091048e-7	1.7222372879091574	3.6798130450401905
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_cibersortx_pc_adjusted	(Intercept)	-0.11803572406097294	0.07140444292364752	-1.6530585384888175	0.10142417450547768	-0.25968293123738656	0.02361148311544066
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_cibersortx_pc_adjusted	tissuetumor	0.21576274781248286	0.09596066390422213	2.2484499276477976	0.026720054202808693	0.02540260376147449	0.40612289186349126
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_cibersortx_pc_adjusted	E2F	-1.5968203206020757	0.43030413310780974	-3.710910952839961	3.3811858932994367e-4	-2.450427970147974	-0.7432126710561777
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_cibersortx_pc_adjusted	G2M	2.0851863716694363	0.44268714360505335	4.710293492348969	7.910527890136552e-6	1.2070141602902316	2.963358583048641
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC1	0.10181262012582062	0.01881274925742258	5.4118948130694084	4.2146031496364407e-7	0.0644931861730414	0.13913205407859985
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC2	0.05333165150964502	0.01941612516033286	2.7467711023310444	0.0071275954503917955	0.014815282071826343	0.0918480209474637
