gene	raw_value	sample_id	library_size	value_type
CLEC1B	1	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
CLEC4M	1	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
COL15A1	217	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
CRHBP	7	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
CXCL14	12	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
CYP1A2	10	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
ECM1	37	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
ECT2	657	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
FAHD2A	626	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
FCN2	0	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
FCN3	18	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
GJC1	54	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
HHIP	0	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
IRAK1	4693	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
ITGA6	3814	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
LINC01093	32	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
NUSAP1	2	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
PLAC8	116	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
PLVAP	1351	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
PRC1	6	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
PTTG1	2054	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
RACGAP1	1172	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
STAB2	13	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
TOP2A	5409	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
TTC13	887	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
UBE2Q1	3587	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
VIPR1	6	TCGA-RG-A7D4-01A-12R-A33R-07	41059682	counts
ADAMTS13	89	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ADGRG7	34	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ANGPTL6	100	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ANLN	435	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ASPM	950	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
BUB1B	188	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CAP2	1217	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CDHR2	14	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CDKN3	941	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CENPF	1133	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CENPW	326	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CFP	6	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CLEC1B	2	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CLEC4M	3	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
COL15A1	1942	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CRHBP	42	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CXCL14	42	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
CYP1A2	1314	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ECM1	607	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ECT2	584	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
FAHD2A	1142	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
FCN2	41	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
FCN3	208	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
GJC1	251	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
HHIP	33	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
IRAK1	7221	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ITGA6	3532	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
LINC01093	64	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
NUSAP1	5	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
PLAC8	52	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
PLVAP	7206	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
PRC1	2	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
PTTG1	942	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
RACGAP1	733	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
STAB2	78	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
TOP2A	1944	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
TTC13	958	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
UBE2Q1	4260	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
VIPR1	29	TCGA-CC-5262-01A-01R-A131-07	44652074	counts
ADAMTS13	315	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ADGRG7	113	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ANGPTL6	174	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ANLN	364	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ASPM	1150	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
BUB1B	108	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CAP2	1935	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CDHR2	43	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CDKN3	1144	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CENPF	1285	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CENPW	159	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CFP	13	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CLEC1B	5	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CLEC4M	1	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
COL15A1	2680	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CRHBP	18	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CXCL14	505	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
CYP1A2	48	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ECM1	483	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ECT2	530	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
FAHD2A	1947	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
FCN2	7	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
FCN3	214	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
GJC1	462	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
HHIP	48	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
IRAK1	7231	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ITGA6	4373	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
LINC01093	33	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
NUSAP1	7	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
PLAC8	91	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
PLVAP	7556	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
PRC1	1	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
PTTG1	1009	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
RACGAP1	632	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
STAB2	20	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
TOP2A	1359	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
TTC13	1539	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
UBE2Q1	6473	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
VIPR1	174	TCGA-DD-AADK-01A-11R-A41C-07	82251612	counts
ADAMTS13	467	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ADGRG7	249	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ANGPTL6	338	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ANLN	183	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ASPM	616	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
BUB1B	87	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CAP2	721	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CDHR2	485	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CDKN3	230	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CENPF	441	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CENPW	95	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CFP	23	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CLEC1B	53	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CLEC4M	65	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
COL15A1	841	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CRHBP	556	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CXCL14	468	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
CYP1A2	4124	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ECM1	733	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ECT2	268	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
FAHD2A	2027	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
FCN2	315	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
FCN3	1233	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
GJC1	154	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
HHIP	85	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
IRAK1	12642	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ITGA6	1634	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
LINC01093	287	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
NUSAP1	12	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
PLAC8	104	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
PLVAP	7387	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
PRC1	0	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
PTTG1	364	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
RACGAP1	332	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
STAB2	159	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
TOP2A	779	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
TTC13	434	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
UBE2Q1	3080	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
VIPR1	73	TCGA-MI-A75E-01A-11R-A32O-07	51309648	counts
ADAMTS13	414	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ADGRG7	1	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ANGPTL6	24	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ANLN	94	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ASPM	583	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
BUB1B	47	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CAP2	973	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CDHR2	126	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CDKN3	76	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CENPF	496	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CENPW	112	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CFP	14	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CLEC1B	23	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CLEC4M	29	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
COL15A1	1724	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CRHBP	732	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CXCL14	337	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
CYP1A2	0	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ECM1	604	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ECT2	131	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
FAHD2A	1130	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
FCN2	75	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
FCN3	2116	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
GJC1	119	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
HHIP	115	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
IRAK1	1093	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ITGA6	1071	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
LINC01093	69	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
NUSAP1	6	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
PLAC8	81	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
PLVAP	4386	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
PRC1	0	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
PTTG1	165	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
RACGAP1	229	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
STAB2	85	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
TOP2A	399	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
TTC13	1218	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
UBE2Q1	5354	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
VIPR1	291	TCGA-DD-AADA-01A-11R-A41C-07	48967716	counts
ADAMTS13	2011	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ADGRG7	989	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ANGPTL6	1011	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ANLN	17	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ASPM	18	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
BUB1B	10	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CAP2	118	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CDHR2	5235	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CDKN3	22	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CENPF	57	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CENPW	25	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CFP	45	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CLEC1B	250	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CLEC4M	850	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
COL15A1	153	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CRHBP	2730	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CXCL14	1153	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
CYP1A2	9002	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ECM1	3372	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ECT2	128	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
FAHD2A	2060	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
FCN2	1519	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
FCN3	5447	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
GJC1	73	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
HHIP	725	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
IRAK1	1319	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ITGA6	1492	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
LINC01093	2231	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
NUSAP1	15	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
PLAC8	186	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
PLVAP	589	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
PRC1	0	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
PTTG1	19	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
RACGAP1	90	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
STAB2	614	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
TOP2A	78	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
TTC13	215	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
UBE2Q1	1522	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
VIPR1	1349	TCGA-BC-A10U-11A-11R-A131-07	56309160	counts
ADAMTS13	67	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ADGRG7	33	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ANGPTL6	107	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ANLN	560	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ASPM	691	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
BUB1B	312	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CAP2	2460	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CDHR2	194	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CDKN3	473	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CENPF	1006	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CENPW	237	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CFP	1	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CLEC1B	0	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CLEC4M	0	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
COL15A1	352	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CRHBP	10	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CXCL14	6	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
CYP1A2	5313	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ECM1	136	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ECT2	710	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
FAHD2A	1859	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
FCN2	0	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
FCN3	60	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
GJC1	85	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
HHIP	0	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
IRAK1	4715	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ITGA6	2309	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
LINC01093	68	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
NUSAP1	4	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
PLAC8	10	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
PLVAP	4144	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
PRC1	8	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
PTTG1	1168	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
RACGAP1	819	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
STAB2	7	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
TOP2A	2740	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
TTC13	878	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
UBE2Q1	3352	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
VIPR1	146	TCGA-MI-A75I-01A-11R-A32O-07	48785779	counts
ADAMTS13	106	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ADGRG7	267	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ANGPTL6	128	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ANLN	44	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ASPM	91	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
BUB1B	20	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CAP2	781	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CDHR2	4024	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CDKN3	91	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CENPF	97	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CENPW	82	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CFP	3	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CLEC1B	1	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CLEC4M	0	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
COL15A1	436	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CRHBP	7	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CXCL14	6	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
CYP1A2	856	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ECM1	138	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ECT2	104	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
FAHD2A	2237	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
FCN2	4	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
FCN3	68	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
GJC1	213	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
HHIP	5	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
IRAK1	6412	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ITGA6	1389	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
LINC01093	23	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
NUSAP1	11	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
PLAC8	16	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
PLVAP	3448	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
PRC1	2	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
PTTG1	90	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
RACGAP1	164	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
STAB2	1	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
TOP2A	168	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
TTC13	326	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
UBE2Q1	2038	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
VIPR1	44	TCGA-G3-A7M7-01A-12R-A352-07	44194112	counts
ADAMTS13	172	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ADGRG7	18	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ANGPTL6	47	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ANLN	310	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ASPM	1673	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
BUB1B	170	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CAP2	441	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CDHR2	12	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CDKN3	445	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CENPF	1710	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CENPW	107	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CFP	14	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CLEC1B	0	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CLEC4M	0	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
COL15A1	1059	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CRHBP	10	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CXCL14	0	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
CYP1A2	2	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ECM1	97	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ECT2	381	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
FAHD2A	1303	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
FCN2	6	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
FCN3	85	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
GJC1	171	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
HHIP	5	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
IRAK1	4155	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ITGA6	600	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
LINC01093	140	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
NUSAP1	24	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
PLAC8	29	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
PLVAP	3944	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
PRC1	3	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
PTTG1	437	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
RACGAP1	435	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
STAB2	17	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
TOP2A	889	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
TTC13	1002	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
UBE2Q1	3112	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
VIPR1	54	TCGA-2Y-A9GU-01A-11R-A38B-07	42151720	counts
ADAMTS13	439	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
ADGRG7	91	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
ANGPTL6	207	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
ANLN	216	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
ASPM	348	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
BUB1B	93	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CAP2	2753	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CDHR2	31	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CDKN3	186	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CENPF	573	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CENPW	152	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CFP	13	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CLEC1B	4	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CLEC4M	1	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
COL15A1	2976	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CRHBP	360	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
CXCL14	54	TCGA-DD-AAD3-01A-11R-A41C-07	51023716	counts
