model	term	estimate	std.error	statistic	p.value	conf.low	conf.high
unadjusted	(Intercept)	-0.1550747284139325	0.06056844401323321	-2.560322143657037	0.011879893510420552	-0.2751707643133715	-0.03497869251449347
unadjusted	tissuetumor	0.23704279914701074	0.07488404330217151	3.165464746481403	0.0020265513755911768	0.08856157432393533	0.3855240239700861
proliferation_adjusted	(Intercept)	-0.0606426770952278	0.0676960983918791	-0.8958075655140351	0.37244434525020265	-0.1949019217768977	0.07361656758644208
proliferation_adjusted	tissuetumor	0.13039905294306417	0.09066012733046587	1.4383285881316454	0.15337244396081426	-0.04940392695204493	0.31020203283817327
proliferation_adjusted	E2F	-2.0055641822575816	0.3966384234779648	-5.056404179583979	1.8653955160558438e-6	-2.7922029459808995	-1.2189254185342637
proliferation_adjusted	G2M	2.4650539570335313	0.41352936101671395	5.961013145409763	3.5454450219857995e-8	1.6449160025180039	3.2851919115490587
proliferation_cibersortx_pc_adjusted	(Intercept)	-0.10120074273540593	0.06081668186527695	-1.6640293358915739	0.09920628561650262	-0.22184468004844377	0.019443194577631925
proliferation_cibersortx_pc_adjusted	tissuetumor	0.19019030421018762	0.08173173726016271	2.3270067489791297	0.021961192570215705	0.028056523081781	0.3523240853385943
proliferation_cibersortx_pc_adjusted	E2F	-1.4505826722622723	0.36649917704020984	-3.9579425088398605	1.407552360524356e-4	-2.1776184523146522	-0.7235468922098925
proliferation_cibersortx_pc_adjusted	G2M	1.9724885662260374	0.3770460503034118	5.231426147121183	9.143638787354553e-7	1.2245306266972005	2.7204465057548743
proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC1	0.08166999618258625	0.016023218440669115	5.0969782684417915	1.6139701367796257e-6	0.04988424099470094	0.11345575137047155
proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC2	0.041218753544121765	0.016537126522995407	2.492497925005639	0.01431119197133254	0.008413542960656335	0.07402396412758719
proliferation_selected_fraction_adjusted	(Intercept)	-0.7806371538060091	0.23300144899628558	-3.35035321526457	0.0011590218465507534	-1.24320351424412	-0.3180707933678981
proliferation_selected_fraction_adjusted	tissuetumor	0.18814634652249823	0.07546187589260868	2.4932635757723953	0.0143872336853973	0.038335581680289554	0.3379571113647069
proliferation_selected_fraction_adjusted	E2F	-1.3199771502876647	0.295133702087289	-4.472471767718575	2.1416818998230765e-5	-1.9058916285247478	-0.7340626720505816
proliferation_selected_fraction_adjusted	G2M	1.9020664319930671	0.3086958856832625	6.161618992047996	1.7290233543460365e-8	1.289227615162352	2.514905248823782
proliferation_selected_fraction_adjusted	T.cells.CD4.memory.resting	-0.05215486335334512	0.4009176736652761	-0.13008871092295352	0.8967712990635469	-0.848077077320424	0.7437673506137339
proliferation_selected_fraction_adjusted	Macrophages.M2	1.6291538835210324	0.3299886065321505	4.937000403261818	3.385256992249459e-6	0.9740436712576999	2.2842640957843647
proliferation_selected_fraction_adjusted	Plasma.cells	2.685326499626182	0.48011900305396027	5.593043563252547	2.1399420945005152e-7	1.7321697670112486	3.6384832322411156
proliferation_selected_fraction_adjusted	Macrophages.M0	2.2301977514849685	0.41558473241124533	5.366409248350485	5.660035291314972e-7	1.40515774442398	3.0552377585459567
proliferation_selected_fraction_adjusted	T.cells.CD8	-0.8176799390152597	0.5365556833088032	-1.5239423688010054	0.13084522988375333	-1.882877647740639	0.24751776971011974
proliferation_selected_fraction_adjusted	Macrophages.M1	1.6647324159841974	0.5911458965256483	2.816110922478456	0.005911469155085939	0.4911594316884973	2.8383054002798973
proliferation_selected_fraction_adjusted	T.cells.follicular.helper	-1.7994121195677304	0.6872821642629887	-2.6181562873777486	0.010288864699720247	-3.1638397258622586	-0.434984513273202
proliferation_selected_fraction_adjusted	Mast.cells.activated	0.18018460073596926	0.6877758059925109	0.26198159220787026	0.7939028434482991	-1.1852230082974653	1.545592209769404
