gene	logFC	AveExpr	t	p_value	FDR	B	dataset
A1BG	-1.1271244749034737	12.325718037383178	-4.200750410227178	5.5121714188275105e-5	2.170249137986513e-4	1.221071447810405	GSE121248
A1BG-AS1	-0.10426182625482618	6.130031869158879	-2.950932021260714	0.0038902159321221657	0.009174313440096863	-2.757437066225232	GSE121248
A1CF	-0.41980439768339717	11.65320214953271	-2.497251282053995	0.01403355845960769	0.028070988245686993	-3.9123322378572936	GSE121248
A2M	-0.8176656756756742	12.928054205607477	-5.668632141195294	1.2233305708148161e-7	9.59996749889419e-7	7.09588026339187	GSE121248
A2M-AS1	-0.9224809073359069	6.860209439252336	-7.93652365845363	2.1449430495874256e-12	6.742622277120704e-11	17.78230309359116	GSE121248
A2ML1	-0.05819225096525088	4.829578411214953	-1.5645092595432615	0.12063962813654151	0.1781342540628691	-5.732680572102797	GSE121248
A2MP1	-0.1681647722007722	5.029922149532711	-3.2246643979004084	0.001671151444510719	0.004391466220396433	-1.981792980084447	GSE121248
A4GALT	-0.15859383397683358	6.413822429906542	-3.9813236813698674	1.2490666817776758e-4	4.4615677387043975e-4	0.44550875766139963	GSE121248
A4GNT	-0.009811239382239377	4.9288922429906545	-0.20956982434708288	0.8344004173999114	0.8731341292909502	-6.920811273738768	GSE121248
AA06	-0.060135629343629406	5.579585420560748	-1.5970668118055837	0.11318880689215184	0.16863201947297987	-5.6823905791219085	GSE121248
AAAS	0.08613478764478723	7.697633644859813	2.521736611143919	0.013145163342240251	0.026530593633675284	-3.8543157096454914	GSE121248
AACS	0.6203796795366789	7.4257177570093456	4.776221927626076	5.684791586262667e-6	2.9057403641450762e-5	3.3914420197434287	GSE121248
AACSP1	0.06427408880308881	3.456352523364486	0.7978418827539093	0.4267226495121481	0.5120813038471759	-6.625412957171376	GSE121248
AADAC	-0.21491106949806912	11.548637757009345	-0.9481379826284048	0.3451875803198149	0.43003639165551416	-6.495134297819432	GSE121248
AADACL2	-0.08363723166023174	3.23886	-2.4865606434695344	0.014438021901658294	0.028787377674314652	-3.937505223248364	GSE121248
AADACP1	-0.5292171583011581	6.778382897196262	-2.5059571516721197	0.013711709036477409	0.02752083471770558	-3.891761808419968	GSE121248
AADAT	-1.7034188030888002	7.354399813084112	-9.709976408591116	2.23843430961953e-16	2.6641796685209296e-14	26.77842283647998	GSE121248
AAED1	0.3604459459459456	7.565739813084112	3.432750046815955	8.496100368282859e-4	0.0024430359723893857	-1.3544969326972032	GSE121248
AAGAB	0.2683715598455596	7.395227476635514	4.220762780028707	5.108846457684533e-5	2.030563438589652e-4	1.2932964419229949	GSE121248
